ID	TASK	MODE	CONDITION	PRIME	TARGET	ASS	T_WF	P_WF	T_SF	P_SF	T_G_A	P_G_A	T_G_C	P_G_C	P_Friend	P_P_Enemy	P_O_Enemy	T_Friend	T_P_Enemy	T_O_Enemy
96	semantic	vis	high	touch	feel	0.67	362	99	497	55	44.11	10.81	79.3	19.23	-1	-1	-1	-1	-1	-1
97	semantic	vis	low	cheese	cracker	0.17	1	29	0	5	0	1.46	0.56	7.41	-1	-1	-1	-1	-1	-1
98	semantic	vis	low	temper	tantrum	0.23	1	16	1	3	0	2.04	0	2.81	-1	-1	-1	-1	-1	-1
99	semantic	vis	low	seafood	shrimp	0.25	2	1	0	0	0.58	0	0.75	0.37	-1	-1	-1	-1	-1	-1
100	semantic	vis	low	hoot	owl	0.46	3	1	0	0	0.29	0	4.67	0.23	-1	-1	-1	-1	-1	-1
101	semantic	vis	low	smudge	smear	0.43	3	1	0	0	0.29	0	0.09	0.23	-1	-1	-1	-1	-1	-1
102	semantic	vis	low	hop	skip	0.28	5	3	5	6	0.29	0	1.85	2.12	-1	-1	-1	-1	-1	-1
103	semantic	vis	low	shout	yell	0.4	5	19	5	11	0	0.29	1.89	5	-1	-1	-1	-1	-1	-1
104	semantic	vis	low	lobster	crab	0.14	5	2	0	0	0.29	0	1.52	1.01	-1	-1	-1	-1	-1	-1
105	semantic	vis	low	reef	coral	0.4	5	7	0	0	0.29	0	1.39	0.73	-1	-1	-1	-1	-1	-1
106	semantic	vis	low	maple	syrup	0.36	7	3	1	2	0	0.58	1.45	4.44	-1	-1	-1	-1	-1	-1
107	semantic	vis	low	salad	lettuce	0.3	7	17	1	1	0.29	0.29	1.76	1.78	-1	-1	-1	-1	-1	-1
108	semantic	vis	low	glue	sticky	0.37	11	3	2	0	0.58	1.75	2.55	1.64	-1	-1	-1	-1	-1	-1
109	semantic	vis	low	razor	blade	0.29	12	8	4	5	1.75	0.29	3.02	0.57	-1	-1	-1	-1	-1	-1
110	semantic	vis	low	lip	kiss	0.32	29	18	13	9	0.88	0.88	2.38	2.06	-1	-1	-1	-1	-1	-1
111	semantic	vis	low	distance	mile	0.17	36	89	20	91	4.09	22.2	10.85	29.85	-1	-1	-1	-1	-1	-1
112	semantic	vis	low	guide	tour	0.21	40	40	22	14	2.63	17.53	1.72	9.12	-1	-1	-1	-1	-1	-1
113	semantic	vis	low	children	kids	0.23	50	654	68	663	0.29	177.9	20.29	102.6	-1	-1	-1	-1	-1	-1
114	semantic	vis	low	throw	catch	0.23	71	51	22	28	5.26	3.51	24.98	14.66	-1	-1	-1	-1	-1	-1
115	semantic	vis	low	silent	quiet	0.32	88	66	39	8	7.3	4.67	27.42	11.52	-1	-1	-1	-1	-1	-1
116	semantic	vis	low	water	drink	0.17	126	452	57	171	7.3	157.74	17.41	311.26	-1	-1	-1	-1	-1	-1
117	semantic	vis	low	motion	movement	0.23	195	35	145	18	61.64	30.38	12.2	9.71	-1	-1	-1	-1	-1	-1
118	semantic	vis	low	speak	talk	0.6	248	124	396	188	19.28	21.91	60.9	32.83	-1	-1	-1	-1	-1	-1
119	semantic	vis	low	save	keep	0.24	352	68	296	42	62.51	12.56	115.93	17.76	-1	-1	-1	-1	-1	-1
120	semantic	vis	low	finish	end	0.28	464	35	503	57	106.33	4.09	92.54	10.64	-1	-1	-1	-1	-1	-1
121	semantic	vis	unrel	hoof	stitch	0	1	2	1	0	0	0	0.45	0.72	-1	-1	-1	-1	-1	-1
122	semantic	vis	unrel	cobra	slipper	0	1	2	0	0	0	0	0.25	0	-1	-1	-1	-1	-1	-1
123	semantic	vis	unrel	pigeon	gamble	0	3	4	3	6	0	0	0.14	0.93	-1	-1	-1	-1	-1	-1
124	semantic	vis	unrel	towel	puppet	0	3	17	1	1	0.58	0.29	0.79	2.38	-1	-1	-1	-1	-1	-1
125	semantic	vis	unrel	chill	hawk	0	4	10	1	1	0	0	2.57	1.71	-1	-1	-1	-1	-1	-1
126	semantic	vis	unrel	cream	grip	0	5	36	1	10	1.17	3.51	2.9	5.65	-1	-1	-1	-1	-1	-1
127	semantic	vis	unrel	jewel	moan	0	6	3	0	2	0	0	0.39	0.45	-1	-1	-1	-1	-1	-1
128	semantic	vis	unrel	sailing	nest	0	14	10	9	6	2.04	1.17	9.29	6.48	-1	-1	-1	-1	-1	-1
129	semantic	vis	unrel	scar	tunnel	0	14	7	6	0	0.88	0.29	5.67	0.98	-1	-1	-1	-1	-1	-1
130	semantic	vis	unrel	hunter	lemon	0	14	12	0	5	0.29	0.88	0.99	4.72	-1	-1	-1	-1	-1	-1
131	semantic	vis	unrel	adult	pond	0	15	91	3	37	0.58	23.95	10.31	6.38	-1	-1	-1	-1	-1	-1
132	semantic	vis	unrel	rubber	straw	0	23	27	5	8	0.88	10.22	6.34	10.01	-1	-1	-1	-1	-1	-1
133	semantic	vis	unrel	map	hut	0	24	30	3	34	0	9.93	5.31	31.96	-1	-1	-1	-1	-1	-1
134	semantic	vis	unrel	ranch	chin	0	27	6	5	3	0.29	0.58	6.33	5.6	-1	-1	-1	-1	-1	-1
135	semantic	vis	unrel	stream	rear	0	28	38	3	22	4.38	8.47	5.53	16.38	-1	-1	-1	-1	-1	-1
136	semantic	vis	unrel	corn	blame	0	35	25	30	10	3.8	8.18	3.08	19.04	-1	-1	-1	-1	-1	-1
137	semantic	vis	unrel	blanket	split	0	38	17	22	7	9.35	1.46	6.12	6.64	-1	-1	-1	-1	-1	-1
138	semantic	vis	unrel	clerk	bent	0	44	24	17	2	3.21	2.63	12.43	2.78	-1	-1	-1	-1	-1	-1
139	semantic	vis	unrel	trust	dozen	0	61	70	25	45	6.43	9.06	6.78	5.27	-1	-1	-1	-1	-1	-1
140	semantic	vis	unrel	upper	broke	0	71	57	21	26	8.76	18.11	19.07	9.51	-1	-1	-1	-1	-1	-1
141	semantic	vis	unrel	rich	pointed	0	72	124	29	62	15.48	26	19.47	27.1	-1	-1	-1	-1	-1	-1
142	semantic	vis	unrel	hearing	bottle	0	88	42	10	34	3.51	17.82	12.65	11.37	-1	-1	-1	-1	-1	-1
143	semantic	vis	unrel	able	party	0	377	321	303	402	89.97	88.51	19.41	67.14	-1	-1	-1	-1	-1	-1
144	semantic	vis	unrel	system	head	0	480	286	128	459	34.47	290.65	137.6	30.94	-1	-1	-1	-1	-1	-1
145	rhyme	both	dis	wage	spice	0	3	24	0	16	0.29	11.98	0.37	0.42	9	0	1	13	0	1
146	rhyme	both	dis	strut	glint	0	3	1	1	6	0	0	0.45	0	9	1	3	11	1	1
147	rhyme	both	dis	halt	stain	0	6	16	3	8	0.88	2.92	0.14	1.94	3	0	2	17	0	13
148	rhyme	both	dis	trust	chalk	0	9	70	7	45	0.88	9.06	1.73	5.27	10	0	1	5	0	2
149	rhyme	both	dis	dash	brow	0	11	10	1	7	0.29	0.88	1.05	2.66	19	1	1	13	17	3
150	rhyme	both	dis	paint	sigh	0	12	41	1	21	0	6.43	3.13	11.09	5	0	1	4	0	24
151	rhyme	both	dis	yeast	tooth	0	14	12	4	0	3.21	0.88	3.57	0.07	5	1	1	3	1	2
152	rhyme	both	dis	goes	lap	0	19	144	2	301	0.58	20.74	4.11	29.13	3	1	8	17	1	1
153	rhyme	both	dis	spare	cow	0	23	36	9	18	1.17	1.46	7.47	3.96	17	1	17	13	17	3
154	rhyme	both	dis	dream	blame	0	35	59	30	16	3.8	6.72	3.08	16.5	10	0	4	12	0	3
155	rhyme	both	dis	storm	chose	0	36	31	20	7	7.89	2.63	5.88	14.22	4	1	2	7	4	4
156	rhyme	both	dis	dome	fool	0	37	11	11	1	0.58	0.88	5.21	1.09	6	2	3	8	1	5
157	rhyme	both	dis	start	pure	0	46	200	36	379	18.4	25.71	6.55	48.01	10	3	1	3	1	13
158	rhyme	both	dis	team	brief	0	47	79	28	149	17.53	16.94	3.78	22.54	10	0	4	4	0	4
159	rhyme	both	dis	staff	gain	0	48	117	41	106	30.38	25.12	5.06	2.22	1	0	4	17	0	13
160	rhyme	both	dis	scale	fly	0	52	71	19	97	6.43	26.58	22.99	5.56	13	0	21	14	0	14
161	rhyme	both	dis	loose	drew	0	60	44	28	16	5.55	5.55	16.58	11.71	4	1	7	17	1	28
162	rhyme	both	dis	clash	worse	0	95	8	68	3	8.18	1.46	14.88	0.07	19	1	1	1	1	7
163	rhyme	both	dis	rail	fast	0	104	19	64	71	16.94	3.21	38.87	2.91	19	0	15	7	0	1
164	rhyme	both	dis	vend	space	0	129	0	81	0	63.1	0	44.86	0	12	0	1	11	0	5
165	rhyme	both	dis	wrist	friend	0	177	22	111	0	10.52	0.88	47.09	2.62	7	1	2	1	1	12
166	rhyme	both	dis	home	form	0	266	502	309	365	194.26	76.53	51.29	166.88	6	2	3	4	1	2
167	rhyme	both	dis	beef	keep	0	352	17	296	4	62.51	3.8	115.93	2.97	2	0	6	14	0	4
168	rhyme	both	dis	craft	young	0	451	16	347	6	87.93	6.72	108.99	2.47	6	0	1	1	0	13
169	rhyme	both	orth	pro	mow	0	0	9	0	8	0	1.17	0.39	0.23	4	3	29	17	13	16
170	rhyme	both	orth	top	swap	0	1	236	5	224	0	33.01	0.35	67.65	17	0	1	1	17	17
171	rhyme	both	orth	stool	ghoul	0	1	9	0	2	0	0.29	0	2.95	8	1	5	1	2	12
172	rhyme	both	orth	comb	chrome	0	3	4	1	3	0	0.29	0	3.22	1	3	8	6	2	3
173	rhyme	both	orth	glad	plaid	0	3	63	0	69	0	0.58	0.16	18.11	13	1	2	1	8	14
174	rhyme	both	orth	chair	scare	0	7	114	7	12	0.88	4.38	1.61	24.34	7	0	27	17	1	17
175	rhyme	both	orth	whom	womb	0	9	189	2	63	0.58	35.05	0	16.22	1	2	12	2	2	11
176	rhyme	both	orth	spear	sphere	0	14	9	7	2	4.09	0.29	1.66	3.05	15	5	16	3	3	28
177	rhyme	both	orth	moan	bone	0	28	6	3	0	10.22	0	10.93	0.39	3	0	24	15	4	12
178	rhyme	both	orth	street	wheat	0	31	264	13	113	8.18	13.15	8.13	49.13	11	0	15	14	3	12
179	rhyme	both	orth	greet	neat	0	31	8	4	4	2.04	0.29	5.53	2.16	11	0	15	14	3	12
180	rhyme	both	orth	size	wise	0	34	114	17	88	8.18	62.22	8.7	34.36	2	0	3	3	1	2
181	rhyme	both	orth	though	blow	0	40	646	17	390	3.8	91.43	12.22	83.18	2	8	31	17	13	16
182	rhyme	both	orth	rear	mere	0	45	28	11	3	10.81	4.38	1.44	5.53	15	5	16	3	3	28
183	rhyme	both	orth	hoe	throw	0	51	2	28	0	3.51	0	14.66	1.08	8	1	25	17	13	16
184	rhyme	both	orth	true	grew	0	76	0	16	0	24.83	63.39	45.18	44.29	10	0	35	17	1	28
185	rhyme	both	orth	choose	lose	0	80	64	52	72	18.11	27.46	14.7	18.6	1	4	8	2	9	7
186	rhyme	both	orth	prize	rise	0	90	21	39	26	33.59	5.26	13.65	5.27	2	0	3	3	1	2
187	rhyme	both	orth	crawl	ball	0	97	9	37	4	8.76	0.29	42.36	3.13	6	0	14	12	1	8
188	rhyme	both	orth	gas	pass	0	100	70	89	81	24.83	37.97	23.49	25.04	1	3	10	10	1	1
189	rhyme	both	orth	sheet	heat	0	120	33	85	50	48.49	16.07	42.37	8.51	11	0	15	14	3	12
190	rhyme	both	orth	sleek	speak	0	124	6	188	2	21.91	0.29	32.83	1.19	10	0	16	12	2	14
191	rhyme	both	orth	trade	paid	0	125	164	145	181	30.67	56.96	14.48	14.86	12	0	9	7	2	14
192	rhyme	both	orth	tone	known	0	263	46	140	16	126.19	6.13	51.32	6.32	15	4	12	8	8	19
193	rhyme	both	phon	fat	swat	0	0	90	0	14	0	11.68	0	15.56	15	2	0	1	16	21
194	rhyme	both	phon	shove	wove	0	0	5	0	5	0	0	1.05	1.06	4	11	0	9	6	2
195	rhyme	both	phon	foot	hoot	0	1	104	0	76	0	10.81	0.23	33.87	2	8	1	8	2	12
196	rhyme	both	phon	head	bead	0	2	480	0	128	0	34.47	0.21	137.6	10	6	12	6	10	15
197	rhyme	both	phon	broad	toad	0	3	43	0	31	0	24.25	2.04	8.7	1	4	1	4	1	6
198	rhyme	both	phon	shown	clown	0	3	85	0	84	0.29	73.91	0.63	21.01	8	8	19	8	8	1
199	rhyme	both	phon	bad	wad	0	3	207	0	240	0	22.2	0.09	41.8	13	1	2	1	13	12
200	rhyme	both	phon	damp	swamp	0	5	28	0	2	0.58	1.46	2.74	6.56	11	1	0	1	11	3
201	rhyme	both	phon	low	sow	0	7	144	5	109	0	54.04	0.72	38.95	17	13	16	13	17	3
202	rhyme	both	phon	smooth	booth	0	9	38	0	8	0.29	12.27	2.03	11.56	1	3	1	3	1	2
203	rhyme	both	phon	tough	cough	0	10	35	19	24	0.58	4.97	1.57	5.81	3	7	11	2	8	1
204	rhyme	both	phon	cost	ghost	0	21	141	2	110	0.29	57.25	5.69	11.28	3	5	0	4	4	4
205	rhyme	both	phon	pool	wool	0	23	38	4	12	4.97	5.26	8.06	9.49	8	1	5	1	8	3
206	rhyme	both	phon	gull	bull	0	28	1	3	2	1.75	0	6.38	1.12	7	3	0	3	7	1
207	rhyme	both	phon	freight	height	0	35	6	21	5	12.85	1.75	9.15	1.2	3	2	24	2	3	26
208	rhyme	both	phon	mouth	youth	0	64	142	71	39	12.27	11.68	4.81	41.91	2	1	0	1	2	4
209	rhyme	both	phon	blood	wood	0	67	150	33	33	15.19	61.34	30.72	26.04	2	7	6	4	5	3
210	rhyme	both	phon	dull	pull	0	68	34	41	15	6.43	3.51	22.98	6.38	7	3	0	3	7	1
211	rhyme	both	phon	glove	drove	0	69	5	12	0	2.63	0	16.25	1.29	4	11	0	9	6	2
212	rhyme	both	phon	harm	warm	0	93	39	48	26	11.1	8.47	59.07	6.51	4	2	0	2	4	4
213	rhyme	both	phon	couch	touch	0	99	9	55	3	10.81	0	19.23	2.19	7	1	0	1	7	4
214	rhyme	both	phon	sword	word	0	212	14	320	4	74.49	0.58	87.73	4.86	5	1	3	1	5	6
215	rhyme	both	phon	hull	full	0	276	3	180	1	45.86	1.46	47.13	0.96	7	3	0	3	7	1
216	rhyme	both	phon	moth	both	0	623	3	427	0	240.12	0.58	97.46	1.34	4	1	0	1	4	3
217	rhyme	both	sim	grant	slant	0	1	23	3	42	0.58	7.59	0.45	2.48	9	1	1	9	1	1
218	rhyme	both	sim	leg	peg	0	5	67	1	12	0	3.51	0.33	15.41	4	0	1	4	0	1
219	rhyme	both	sim	grief	thief	0	6	16	9	4	0	1.46	2.19	1.81	4	0	4	4	0	4
220	rhyme	both	sim	drum	gum	0	6	8	0	5	1.17	0.88	2.31	4.14	12	0	8	12	0	8
221	rhyme	both	sim	dime	lime	0	8	4	3	0	0.58	0.29	0.43	1.73	10	0	3	10	0	3
222	rhyme	both	sim	stone	zone	0	11	90	10	38	8.18	13.44	1.44	30.91	15	4	12	15	4	12
223	rhyme	both	sim	mad	pad	0	11	49	3	38	0.58	0.88	1.92	7.63	13	1	2	13	1	2
224	rhyme	both	sim	thread	dread	0	12	10	3	8	1.17	2.92	1.27	4.78	10	6	12	10	6	12
225	rhyme	both	sim	meal	seal	0	14	55	2	33	2.34	3.21	4.71	11.59	9	0	10	9	0	10
226	rhyme	both	sim	dawn	lawn	0	22	35	1	3	2.04	2.34	6.38	7.75	8	0	1	8	0	1
227	rhyme	both	sim	numb	thumb	0	24	4	5	2	1.46	0	3.77	0.96	5	0	15	5	0	15
228	rhyme	both	sim	hint	print	0	28	20	30	5	9.93	1.17	2.61	1.52	11	1	1	11	1	1
229	rhyme	both	sim	broke	joke	0	33	71	23	21	1.46	8.76	3.57	19.07	11	0	6	11	0	6
230	rhyme	both	sim	fought	sought	0	40	40	10	15	24.54	9.06	1.6	9.31	7	1	4	7	1	4
